PO Number,PO Date,PO Year,PO Quarter,PO Month,PO Type,PO Status,Supplier ID,Supplier Name,Supplier Country,Supplier Region,Supplier Tier,Supplier Status,Supplier Risk,Supplier Latitude,Supplier Longitude,Payment Terms,Item Code,Item Description,Category,Sub Category,Unit of Measure,Unit Price,Quantity,Discount Pct,Discount Amount,Tax Pct,Tax Amount,Line Total Gross,Line Net,Line Total Inc Tax,Currency,Budget Unit Price,Budget Total,Savings Amount,Savings Pct,Requested Delivery,Actual Delivery,Days Late,On Time Delivery,Lead Time Days,Department,Cost Centre,Requestor Name,Approver Name,Contract ID,Contract Type,Contract Start,Contract End,Invoice Status,Payment Status,Invoice Match Type,Maverick Spend,Single Source Flag,Preferred Supplier,Local International,Supplier ESG Score
PO-02457,12/12/2024,2024,Q4,December,Standard,Closed,SUP-010,SunRise Manufacturing,South Korea,Asia,1,Preferred,Low,35.9078,127.7669,Net 30,ITEM-60672,Legal Review,Professional Svcs,Legal Review,EA,4525.87,94,10,42543.18,20,76577.72,425431.78,382888.6,459466.32,GBP,5310.08,499147.52,116258.92,23.3,26/12/2024,21/12/2024,-5,Yes,9,Operations,CC-003,Maya Hall,Lisa Chen,CON-5301,Spot,07/10/2024,28/02/2026,Overdue,Pending,3-Way Match,No,No,Yes,International,41.6
PO-02458,04/03/2024,2024,Q1,March,Standard,Closed,SUP-010,SunRise Manufacturing,South Korea,Asia,1,Preferred,Low,35.9078,127.7669,Net 30,ITEM-64827,Print Material,Marketing,Print Material,Box,234.69,160,5,1877.52,5,1783.64,37550.4,35672.88,37456.52,EUR,258.86,41417.6,5744.72,13.9,14/04/2024,09/04/2024,-5,Yes,36,Operations,CC-003,Maya Hall,Sarah Mitchell,NO-CONTRACT,Spot,04/03/2024,03/04/2024,Pending,Paid,3-Way Match,No,No,Yes,International,41.6
PO-02459,14/07/2024,2024,Q3,July,Standard,Closed,SUP-014,Blue Horizon Packaging,Australia,Oceania,2,Approved,Low,-25.2744,133.7751,Net 30,ITEM-41218,Consulting (day),Professional Svcs,Consulting (day),Day,1332.42,34,0,0,0,0,45302.28,45302.28,45302.28,GBP,1605.61,54590.74,9288.46,17,06/08/2024,04/08/2024,-2,Yes,21,R&D,CC-008,Henry Martin,Priya Sharma,NO-CONTRACT,Spot,14/07/2024,13/08/2024,Paid,Paid,3-Way Match,No,No,No,International,50.9
PO-02460,12/12/2023,2023,Q4,December,Emergency,Disputed,SUP-006,Pacific Rim Supplies,Japan,Asia,1,Preferred,Low,36.2048,138.2529,Net 30,ITEM-30629,Translation Svcs,Professional Svcs,Translation Svcs,EA,368.64,37,0,0,20,2727.94,13639.68,13639.68,16367.62,EUR,299.02,11063.74,-2575.94,-23.3,06/01/2024,16/01/2024,10,No,35,R&D,CC-008,Henry Martin,Sarah Mitchell,NO-CONTRACT,Spot,12/12/2023,11/01/2024,Disputed,On Hold,3-Way Match,No,No,Yes,International,77.2
PO-02461,22/04/2024,2024,Q2,April,Blanket,Closed,SUP-014,Blue Horizon Packaging,Australia,Oceania,2,Approved,Low,-25.2744,133.7751,Net 30,ITEM-43740,Keyboard,IT Hardware,Keyboard,EA,79.36,98,0,0,20,1555.46,7777.28,7777.28,9332.74,GBP,92.74,9088.52,1311.24,14.4,12/05/2024,09/05/2024,-3,Yes,17,Operations,CC-003,Maya Hall,Tom Reynolds,CON-6468,Framework,30/08/2023,11/08/2026,Paid,Paid,3-Way Match,No,No,No,International,50.9
PO-02462,03/12/2024,2024,Q4,December,Standard,Closed,SUP-001,Apex Industrial Supplies,United Kingdom,Europe,1,Preferred,Low,55.3781,-3.436,Net 30,ITEM-32712,Branded Merchandise,Marketing,Branded Merchandise,Box,277.85,64,10,1778.24,5,800.21,17782.4,16004.16,16804.37,EUR,305.32,19540.48,3536.32,18.1,06/01/2025,06/01/2025,0,Yes,34,Marketing,CC-004,David Lee,Tom Reynolds,CON-7466,Master Supply,29/09/2024,08/03/2026,Overdue,Paid,3-Way Match,No,No,Yes,Local,75.2
PO-02463,08/10/2022,2022,Q4,October,Blanket,Closed,SUP-004,FastTrack Logistics,United States,Americas,1,Preferred,Low,37.0902,-95.7129,Net 30,ITEM-13249,Laptop,IT Hardware,Laptop,EA,1242.12,106,0,0,5,6583.24,131664.72,131664.72,138247.96,USD,1370.8,145304.8,13640.08,9.4,14/10/2022,10/10/2022,-4,Yes,2,Sales,CC-010,Jack Harris,Priya Sharma,CON-2394,Spot,18/10/2021,02/10/2022,Pending,Paid,No Match,No,Yes,Yes,International,52.3
PO-02464,10/02/2022,2022,Q1,February,Standard,Cancelled,SUP-005,EuroBuild Materials,France,Europe,2,Approved,Low,46.2276,2.2137,Net 45,ITEM-15118,Safety Equipment,Facilities,Safety Equipment,Box,55.38,196,0,0,20,2170.9,10854.48,10854.48,13025.38,EUR,57.17,11205.32,350.84,3.1,07/04/2022,03/04/2022,-4,Yes,52,Finance,CC-001,Karen Clark,Lisa Chen,CON-1323,Framework,16/05/2021,19/03/2023,Pending,Pending,No Match,No,No,No,International,80.5
PO-02465,03/12/2024,2024,Q4,December,Emergency,Closed,SUP-003,GlobalParts Ltd,China,Asia,2,Approved,Medium,35.8617,104.1954,Net 60,ITEM-61412,Filing Cabinet,Office Supplies,Filing Cabinet,EA,111.46,119,0,0,20,2652.75,13263.74,13263.74,15916.49,GBP,122.7,14601.3,1337.56,9.2,21/01/2025,17/02/2025,27,No,76,HR,CC-005,Emma Wilson,Priya Sharma,CON-3873,Long-term,26/03/2024,06/09/2025,Pending,Paid,2-Way Match,No,No,No,International,55.1
PO-02466,22/06/2024,2024,Q2,June,Standard,Closed,SUP-005,EuroBuild Materials,France,Europe,2,Approved,Low,46.2276,2.2137,Net 45,ITEM-64270,Pens & Stationery,Office Supplies,Pens & Stationery,Box,32.89,45,0,0,5,74,1480.05,1480.05,1554.05,AUD,33.99,1529.55,49.5,3.2,19/07/2024,15/07/2024,-4,Yes,23,IT,CC-002,Bob Smith,Priya Sharma,CON-8374,Framework,06/07/2023,22/10/2024,Paid,On Hold,3-Way Match,No,No,No,International,80.5
PO-02467,18/10/2024,2024,Q4,October,Standard,Closed,SUP-004,FastTrack Logistics,United States,Americas,1,Preferred,Low,37.0902,-95.7129,Net 30,ITEM-76816,Antivirus License,IT Software,Antivirus License,EA,47.74,75,0,0,20,716.1,3580.5,3580.5,4296.6,AUD,52.9,3967.5,387,9.8,16/11/2024,12/11/2024,-4,Yes,25,IT,CC-002,Bob Smith,James O'Brien,NO-CONTRACT,Spot,18/10/2024,17/11/2024,Paid,Paid,No Match,No,No,Yes,International,52.3
PO-02468,16/08/2024,2024,Q3,August,Emergency,Cancelled,SUP-004,FastTrack Logistics,United States,Americas,1,Preferred,Low,37.0902,-95.7129,Net 30,ITEM-33454,Network Switch,IT Hardware,Network Switch,EA,3840.05,82,15,47232.61,5,13382.57,314884.1,267651.49,281034.06,GBP,4366.65,358065.3,90413.81,25.3,11/10/2024,09/10/2024,-2,Yes,54,Operations,CC-003,Maya Hall,James O'Brien,CON-2111,Spot,05/09/2023,15/12/2025,Pending,Pending,No Match,No,Yes,Yes,International,52.3
PO-02469,03/10/2024,2024,Q4,October,Blanket,Closed,SUP-015,Iron Gate Steel,Poland,Europe,3,Conditional,Medium,51.9194,19.1451,Net 60,ITEM-94075,Courier Service,Logistics,Courier Service,Shipment,75.51,69,0,0,20,1042.04,5210.19,5210.19,6252.23,EUR,89.07,6145.83,935.64,15.2,17/11/2024,13/11/2024,-4,Yes,41,IT,CC-002,Leo Walker,Tom Reynolds,CON-8658,Long-term,06/08/2024,03/11/2026,Paid,Paid,3-Way Match,No,No,No,International,75.7
PO-02470,25/12/2023,2023,Q4,December,Standard,Closed,SUP-002,TechPro Components,Germany,Europe,1,Preferred,Low,51.1657,10.4515,Net 45,ITEM-43740,Keyboard,IT Hardware,Keyboard,EA,75.85,153,0,0,0,0,11605.05,11605.05,11605.05,GBP,87.18,13338.54,1733.49,13,16/02/2024,15/02/2024,-1,Yes,52,IT,CC-002,Bob Smith,Sarah Mitchell,CON-9646,Framework,23/11/2023,02/10/2025,Paid,Overdue,No Match,No,No,Yes,International,41.4
PO-02471,12/06/2022,2022,Q2,June,Blanket,Closed,SUP-015,Iron Gate Steel,Poland,Europe,3,Conditional,Medium,51.9194,19.1451,Net 60,ITEM-30629,Translation Svcs,Professional Svcs,Translation Svcs,EA,249.66,30,0,0,5,374.49,7489.8,7489.8,7864.29,JPY,264.34,7930.2,440.4,5.6,28/06/2022,23/06/2022,-5,Yes,11,Finance,CC-001,Karen Clark,Sarah Mitchell,CON-7615,Long-term,11/11/2021,24/01/2024,Paid,Paid,3-Way Match,No,No,No,International,75.7
PO-02472,14/09/2022,2022,Q3,September,Blanket,Open,SUP-013,Quantum Electronics,Taiwan,Asia,2,Approved,Medium,23.6978,120.9605,Net 45,ITEM-57013,Cloud Storage (TB),IT Software,Cloud Storage (TB),TB,254.92,77,0,0,0,0,19628.84,19628.84,19628.84,GBP,294.14,22648.78,3019.94,13.3,27/09/2022,27/09/2022,0,Yes,13,IT,CC-002,Leo Walker,Sarah Mitchell,NO-CONTRACT,Spot,14/09/2022,14/10/2022,Pending,Pending,2-Way Match,No,No,No,International,41.5
PO-02473,14/10/2022,2022,Q4,October,Standard,Cancelled,SUP-003,GlobalParts Ltd,China,Asia,2,Approved,Medium,35.8617,104.1954,Net 60,ITEM-52337,Cleaning Supplies,Facilities,Cleaning Supplies,Box,70.35,52,5,182.91,20,695.06,3658.2,3475.29,4170.35,USD,81.68,4247.36,772.07,18.2,28/11/2022,23/11/2022,-5,Yes,40,HR,CC-005,Emma Wilson,Tom Reynolds,CON-2337,Long-term,05/08/2022,04/04/2025,Disputed,On Hold,No Match,No,No,No,International,55.1
PO-02474,06/03/2023,2023,Q1,March,Blanket,Open,SUP-002,TechPro Components,Germany,Europe,1,Preferred,Low,51.1657,10.4515,Net 45,ITEM-57013,Cloud Storage (TB),IT Software,Cloud Storage (TB),TB,222.97,196,10,4370.21,5,1966.6,43702.12,39331.91,41298.51,EUR,272.13,53337.48,14005.57,26.3,16/04/2023,15/04/2023,-1,Yes,40,Marketing,CC-004,Nathan Young,Tom Reynolds,NO-CONTRACT,Spot,06/03/2023,05/04/2023,Pending,Pending,2-Way Match,No,No,Yes,International,41.4
PO-02475,07/08/2022,2022,Q3,August,Standard,Closed,SUP-002,TechPro Components,Germany,Europe,1,Preferred,Low,51.1657,10.4515,Net 45,ITEM-61412,Filing Cabinet,Office Supplies,Filing Cabinet,EA,129.69,114,0,0,20,2956.93,14784.66,14784.66,17741.59,GBP,149.59,17053.26,2268.6,13.3,03/10/2022,28/09/2022,-5,Yes,52,Marketing,CC-004,Nathan Young,Sarah Mitchell,CON-5559,Framework,20/12/2021,08/11/2024,Pending,Paid,2-Way Match,No,No,Yes,International,41.4
PO-02476,27/02/2024,2024,Q1,February,Emergency,Closed,SUP-011,Atlantic Raw Materials,Brazil,Americas,3,Conditional,High,-14.235,-51.9253,Net 60,ITEM-95695,Employee Uniforms,HR & Training,Employee Uniforms,EA,47.27,141,0,0,0,0,6665.07,6665.07,6665.07,JPY,49.17,6932.97,267.9,3.9,17/03/2024,16/03/2024,-1,Yes,18,Finance,CC-001,Alice Johnson,James O'Brien,CON-1369,Long-term,31/05/2023,15/04/2026,Overdue,Pending,3-Way Match,Yes,No,No,International,52
PO-02477,29/12/2022,2022,Q4,December,Standard,Cancelled,SUP-008,Meridian Tech,India,Asia,3,Conditional,Medium,20.5937,78.9629,Net 60,ITEM-32712,Branded Merchandise,Marketing,Branded Merchandise,Box,611.56,34,0,0,0,0,20793.04,20793.04,20793.04,GBP,683.37,23234.58,2441.54,10.5,03/02/2023,30/01/2023,-4,Yes,32,Sales,CC-010,Jack Harris,Tom Reynolds,CON-5648,Spot,13/08/2022,03/02/2024,Disputed,On Hold,No Match,No,No,No,International,44.8
PO-02478,22/10/2022,2022,Q4,October,Standard,Closed,SUP-014,Blue Horizon Packaging,Australia,Oceania,2,Approved,Low,-25.2744,133.7751,Net 30,ITEM-36437,Server Rack,IT Hardware,Server Rack,EA,4730.41,107,0,0,5,25307.69,506153.87,506153.87,531461.56,USD,4573.63,489378.41,-16775.46,-3.4,27/11/2022,28/11/2022,1,No,37,Facilities,CC-009,Isla White,Priya Sharma,NO-CONTRACT,Spot,22/10/2022,21/11/2022,Pending,Paid,2-Way Match,No,No,No,International,50.9
PO-02479,31/07/2024,2024,Q3,July,Contract,Cancelled,SUP-006,Pacific Rim Supplies,Japan,Asia,1,Preferred,Low,36.2048,138.2529,Net 30,ITEM-34497,Maintenance Kit,Facilities,Maintenance Kit,EA,269.65,117,0,0,5,1577.45,31549.05,31549.05,33126.5,GBP,203.39,23796.63,-7752.42,-32.6,13/09/2024,10/10/2024,27,No,71,Finance,CC-001,Karen Clark,Tom Reynolds,NO-CONTRACT,Spot,31/07/2024,30/08/2024,Pending,On Hold,No Match,No,No,Yes,International,77.2
PO-02480,08/01/2023,2023,Q1,January,Standard,Closed,SUP-008,Meridian Tech,India,Asia,3,Conditional,Medium,20.5937,78.9629,Net 60,ITEM-54692,Copper Wire (m),Raw Materials,Copper Wire (m),MTR,2.1,2,0,0,20,0.84,4.2,4.2,5.04,JPY,2.27,4.54,0.34,7.5,27/01/2023,25/01/2023,-2,Yes,17,Facilities,CC-009,Isla White,James O'Brien,CON-9045,Spot,29/10/2022,10/10/2023,Paid,Pending,2-Way Match,Yes,No,No,International,44.8
PO-02481,03/04/2022,2022,Q2,April,Standard,Closed,SUP-005,EuroBuild Materials,France,Europe,2,Approved,Low,46.2276,2.2137,Net 45,ITEM-33454,Network Switch,IT Hardware,Network Switch,EA,1026.07,170,15,26164.78,0,0,174431.9,148267.12,148267.12,AUD,1274.46,216658.2,68391.08,31.6,20/04/2022,12/05/2022,22,No,39,R&D,CC-008,Henry Martin,Tom Reynolds,CON-7110,Master Supply,02/10/2021,02/08/2024,Paid,Paid,3-Way Match,No,No,No,International,80.5
PO-02482,11/02/2023,2023,Q1,February,Standard,Open,SUP-007,Nordic Office Solutions,Sweden,Europe,2,Approved,Low,60.1282,18.6435,Net 30,ITEM-95695,Employee Uniforms,HR & Training,Employee Uniforms,EA,87.59,49,0,0,5,214.6,4291.91,4291.91,4506.51,EUR,99.57,4878.93,587.02,12,07/03/2023,06/03/2023,-1,Yes,23,R&D,CC-008,Henry Martin,Lisa Chen,CON-6260,Framework,22/10/2022,15/04/2025,Pending,On Hold,2-Way Match,No,No,No,International,89.1
PO-02483,27/11/2022,2022,Q4,November,Standard,Closed,SUP-008,Meridian Tech,India,Asia,3,Conditional,Medium,20.5937,78.9629,Net 60,ITEM-53575,Digital Ads,Marketing,Digital Ads,Campaign,2712.21,81,0,0,0,0,219689.01,219689.01,219689.01,GBP,3104.32,251449.92,31760.91,12.6,12/01/2023,29/01/2023,17,No,63,IT,CC-002,Bob Smith,James O'Brien,CON-7554,Master Supply,26/07/2022,04/05/2025,Pending,Overdue,3-Way Match,Yes,Yes,No,International,44.8
PO-02484,19/08/2022,2022,Q3,August,Standard,Disputed,SUP-003,GlobalParts Ltd,China,Asia,2,Approved,Medium,35.8617,104.1954,Net 60,ITEM-41311,Rubber Seal,Raw Materials,Rubber Seal,EA,20.87,117,0,0,5,122.09,2441.79,2441.79,2563.88,GBP,24.54,2871.18,429.39,15,29/09/2022,02/10/2022,3,No,44,HR,CC-005,Olivia King,Priya Sharma,CON-8022,Spot,24/09/2021,24/12/2022,Disputed,On Hold,No Match,No,No,No,International,55.1
PO-02485,15/09/2024,2024,Q3,September,Emergency,Closed,SUP-013,Quantum Electronics,Taiwan,Asia,2,Approved,Medium,23.6978,120.9605,Net 45,ITEM-41311,Rubber Seal,Raw Materials,Rubber Seal,EA,22.83,118,0,0,0,0,2693.94,2693.94,2693.94,GBP,25.12,2964.16,270.22,9.1,05/10/2024,02/10/2024,-3,Yes,17,Operations,CC-003,Clara Davies,Lisa Chen,NO-CONTRACT,Spot,15/09/2024,15/10/2024,Pending,Paid,3-Way Match,No,No,No,International,41.5
PO-02486,25/12/2024,2024,Q4,December,Standard,Closed,SUP-012,Cornerstone Services,United Kingdom,Europe,2,Approved,Low,55.3781,-3.436,Net 30,ITEM-52337,Cleaning Supplies,Facilities,Cleaning Supplies,Box,59.7,77,0,0,0,0,4596.9,4596.9,4596.9,GBP,65.59,5050.43,453.53,9,25/01/2025,25/01/2025,0,Yes,31,Operations,CC-003,Maya Hall,James O'Brien,NO-CONTRACT,Spot,25/12/2024,24/01/2025,Overdue,Pending,No Match,No,No,No,Local,67.8
PO-02487,13/06/2023,2023,Q2,June,Standard,Closed,SUP-007,Nordic Office Solutions,Sweden,Europe,2,Approved,Low,60.1282,18.6435,Net 30,ITEM-46380,Photography Svcs,Marketing,Photography Svcs,EA,1311.99,149,0,0,0,0,195486.51,195486.51,195486.51,GBP,1491.9,222293.1,26806.59,12.1,31/07/2023,27/07/2023,-4,Yes,44,Operations,CC-003,Maya Hall,Priya Sharma,CON-4665,Long-term,24/02/2023,02/10/2025,Pending,Paid,No Match,No,Yes,No,International,89.1
PO-02488,22/06/2022,2022,Q2,June,Blanket,Open,SUP-002,TechPro Components,Germany,Europe,1,Preferred,Low,51.1657,10.4515,Net 45,ITEM-30629,Translation Svcs,Professional Svcs,Translation Svcs,EA,395.27,177,0,0,5,3498.14,69962.79,69962.79,73460.93,GBP,473.96,83890.92,13928.13,16.6,24/07/2022,23/07/2022,-1,Yes,31,Operations,CC-003,Clara Davies,Sarah Mitchell,CON-9714,Framework,04/05/2022,18/12/2023,Pending,Overdue,2-Way Match,No,No,Yes,International,41.4
PO-02489,17/10/2024,2024,Q4,October,Contract,Closed,SUP-011,Atlantic Raw Materials,Brazil,Americas,3,Conditional,High,-14.235,-51.9253,Net 60,ITEM-57013,Cloud Storage (TB),IT Software,Cloud Storage (TB),TB,228.74,120,0,0,20,5489.76,27448.8,27448.8,32938.56,GBP,239.31,28717.2,1268.4,4.4,27/11/2024,26/11/2024,-1,Yes,40,Marketing,CC-004,Nathan Young,Sarah Mitchell,CON-5454,Framework,27/12/2023,29/08/2024,Overdue,Pending,3-Way Match,No,No,No,International,52
PO-02490,15/10/2023,2023,Q4,October,Emergency,Closed,SUP-002,TechPro Components,Germany,Europe,1,Preferred,Low,51.1657,10.4515,Net 45,ITEM-18028,BI Tool License,IT Software,BI Tool License,EA,1221.64,100,0,0,0,0,122164,122164,122164,GBP,1285.93,128593,6429,5,21/10/2023,18/10/2023,-3,Yes,3,Operations,CC-003,Clara Davies,Tom Reynolds,CON-6391,Master Supply,17/11/2022,29/08/2024,Paid,Pending,2-Way Match,No,No,Yes,International,41.4
PO-02491,04/04/2023,2023,Q2,April,Contract,Open,SUP-009,Delta Engineering,Netherlands,Europe,2,Approved,Medium,52.1326,5.2913,Net 45,ITEM-70803,Recruitment Agency,HR & Training,Recruitment Agency,EA,2296.29,80,0,0,20,36740.64,183703.2,183703.2,220443.84,GBP,2832.79,226623.2,42920,18.9,11/04/2023,10/05/2023,29,No,36,Operations,CC-003,Clara Davies,Lisa Chen,CON-5252,Long-term,03/01/2023,14/08/2024,Pending,Overdue,2-Way Match,No,Yes,No,International,63.2
PO-02492,09/06/2024,2024,Q2,June,Standard,Open,SUP-014,Blue Horizon Packaging,Australia,Oceania,2,Approved,Low,-25.2744,133.7751,Net 30,ITEM-65578,Monitor,IT Hardware,Monitor,EA,567.79,199,0,0,20,22598.04,112990.21,112990.21,135588.25,EUR,626.03,124579.97,11589.76,9.3,22/07/2024,17/07/2024,-5,Yes,38,Finance,CC-001,Karen Clark,Sarah Mitchell,CON-7346,Spot,25/03/2024,24/10/2026,Pending,On Hold,No Match,No,No,No,International,50.9
PO-02493,27/12/2024,2024,Q4,December,Standard,Closed,SUP-008,Meridian Tech,India,Asia,3,Conditional,Medium,20.5937,78.9629,Net 60,ITEM-30629,Translation Svcs,Professional Svcs,Translation Svcs,EA,563.98,138,0,0,5,3891.46,77829.24,77829.24,81720.7,USD,611.91,84443.58,6614.34,7.8,03/02/2025,03/02/2025,0,Yes,38,Operations,CC-003,Clara Davies,Sarah Mitchell,NO-CONTRACT,Spot,27/12/2024,26/01/2025,Paid,Paid,3-Way Match,Yes,No,No,International,44.8
PO-02494,13/03/2024,2024,Q1,March,Standard,Open,SUP-003,GlobalParts Ltd,China,Asia,2,Approved,Medium,35.8617,104.1954,Net 60,ITEM-34497,Maintenance Kit,Facilities,Maintenance Kit,EA,141.77,70,0,0,0,0,9923.9,9923.9,9923.9,GBP,157.05,10993.5,1069.6,9.7,11/05/2024,06/06/2024,26,No,85,R&D,CC-008,Henry Martin,Sarah Mitchell,CON-8688,Framework,05/08/2023,15/07/2024,Pending,Pending,No Match,No,No,No,International,55.1
PO-02495,06/10/2024,2024,Q4,October,Contract,Closed,SUP-012,Cornerstone Services,United Kingdom,Europe,2,Approved,Low,55.3781,-3.436,Net 30,ITEM-36437,Server Rack,IT Hardware,Server Rack,EA,6875.69,106,0,0,5,36441.16,728823.14,728823.14,765264.3,GBP,7919.9,839509.4,110686.26,13.2,26/10/2024,23/11/2024,28,No,48,Procurement,CC-006,Frank Brown,James O'Brien,CON-3005,Long-term,04/03/2024,28/01/2026,Overdue,Paid,3-Way Match,No,No,No,Local,67.8
PO-02496,13/11/2023,2023,Q4,November,Standard,Open,SUP-003,GlobalParts Ltd,China,Asia,2,Approved,Medium,35.8617,104.1954,Net 60,ITEM-41311,Rubber Seal,Raw Materials,Rubber Seal,EA,14.01,87,5,60.94,20,231.59,1218.87,1157.93,1389.52,GBP,14.96,1301.52,143.59,11,13/12/2023,08/12/2023,-5,Yes,25,Sales,CC-010,Jack Harris,Tom Reynolds,NO-CONTRACT,Spot,13/11/2023,13/12/2023,Pending,Pending,2-Way Match,No,No,No,International,55.1
PO-02497,17/08/2022,2022,Q3,August,Emergency,Closed,SUP-012,Cornerstone Services,United Kingdom,Europe,2,Approved,Low,55.3781,-3.436,Net 30,ITEM-39694,Event Mgmt,Marketing,Event Mgmt,EA,19701.07,190,0,0,5,187160.17,3743203.3,3743203.3,3930363.47,GBP,22519.58,4278720.2,535516.9,12.5,24/09/2022,19/09/2022,-5,Yes,33,IT,CC-002,Bob Smith,James O'Brien,NO-CONTRACT,Spot,17/08/2022,16/09/2022,Paid,Paid,No Match,No,No,No,Local,67.8
PO-02498,27/08/2022,2022,Q3,August,Emergency,Open,SUP-001,Apex Industrial Supplies,United Kingdom,Europe,1,Preferred,Low,55.3781,-3.436,Net 30,ITEM-54692,Copper Wire (m),Raw Materials,Copper Wire (m),MTR,1.34,84,0,0,5,5.63,112.56,112.56,118.19,EUR,1.49,125.16,12.6,10.1,18/10/2022,14/10/2022,-4,Yes,48,IT,CC-002,Leo Walker,Lisa Chen,CON-2857,Master Supply,15/10/2021,06/09/2022,Overdue,On Hold,2-Way Match,No,No,Yes,Local,75.2
PO-02499,05/08/2023,2023,Q3,August,Contract,Closed,SUP-003,GlobalParts Ltd,China,Asia,2,Approved,Medium,35.8617,104.1954,Net 60,ITEM-76104,ERP License,IT Software,ERP License,EA,15390.87,153,0,0,20,470960.62,2354803.11,2354803.11,2825763.73,GBP,17642.05,2699233.65,344430.54,12.8,11/08/2023,08/08/2023,-3,Yes,3,Sales,CC-010,Jack Harris,Tom Reynolds,CON-1752,Framework,08/05/2023,28/06/2024,Pending,Overdue,No Match,No,No,No,International,55.1
PO-02500,22/03/2023,2023,Q1,March,Blanket,Closed,SUP-011,Atlantic Raw Materials,Brazil,Americas,3,Conditional,High,-14.235,-51.9253,Net 60,ITEM-39694,Event Mgmt,Marketing,Event Mgmt,EA,12344.08,21,0,0,0,0,259225.68,259225.68,259225.68,EUR,14265.08,299566.68,40341,13.5,04/04/2023,09/04/2023,5,No,18,IT,CC-002,Bob Smith,Tom Reynolds,NO-CONTRACT,Spot,22/03/2023,21/04/2023,Paid,Overdue,2-Way Match,Yes,No,No,International,52
PO-02501,22/10/2023,2023,Q4,October,Standard,Closed,SUP-012,Cornerstone Services,United Kingdom,Europe,2,Approved,Low,55.3781,-3.436,Net 30,ITEM-39694,Event Mgmt,Marketing,Event Mgmt,EA,12436.6,21,10,26116.86,0,0,261168.6,235051.74,235051.74,EUR,15494.17,325377.57,90325.83,27.8,30/11/2023,07/12/2023,7,No,46,Legal,CC-007,Grace Taylor,Lisa Chen,CON-6114,Master Supply,16/01/2023,21/11/2025,Paid,Paid,3-Way Match,No,No,No,Local,67.8
PO-02502,09/02/2022,2022,Q1,February,Blanket,Open,SUP-004,FastTrack Logistics,United States,Americas,1,Preferred,Low,37.0902,-95.7129,Net 30,ITEM-20168,Fire Extinguisher,Facilities,Fire Extinguisher,EA,83.72,61,10,510.69,20,919.25,5106.92,4596.23,5515.48,USD,94.17,5744.37,1148.14,20,26/02/2022,26/02/2022,0,Yes,17,IT,CC-002,Leo Walker,Sarah Mitchell,NO-CONTRACT,Spot,09/02/2022,11/03/2022,Pending,On Hold,2-Way Match,No,No,Yes,International,52.3
PO-02503,28/06/2022,2022,Q2,June,Contract,Cancelled,SUP-012,Cornerstone Services,United Kingdom,Europe,2,Approved,Low,55.3781,-3.436,Net 30,ITEM-94075,Courier Service,Logistics,Courier Service,Shipment,22,29,0,0,0,0,638,638,638,AUD,24.45,709.05,71.05,10,10/08/2022,01/09/2022,22,No,65,Operations,CC-003,Maya Hall,Lisa Chen,NO-CONTRACT,Spot,28/06/2022,28/07/2022,Disputed,On Hold,No Match,No,No,No,Local,67.8
PO-02504,04/12/2023,2023,Q4,December,Blanket,Closed,SUP-009,Delta Engineering,Netherlands,Europe,2,Approved,Medium,52.1326,5.2913,Net 45,ITEM-31689,Training Material,HR & Training,Training Material,Box,211.06,38,0,0,0,0,8020.28,8020.28,8020.28,EUR,263.62,10017.56,1997.28,19.9,28/01/2024,27/01/2024,-1,Yes,54,Finance,CC-001,Alice Johnson,James O'Brien,NO-CONTRACT,Spot,04/12/2023,03/01/2024,Pending,Pending,2-Way Match,No,No,No,International,63.2
PO-02505,16/10/2024,2024,Q4,October,Standard,Closed,SUP-012,Cornerstone Services,United Kingdom,Europe,2,Approved,Low,55.3781,-3.436,Net 30,ITEM-46380,Photography Svcs,Marketing,Photography Svcs,EA,584.41,9,0,0,5,262.98,5259.69,5259.69,5522.67,GBP,632.05,5688.45,428.76,7.5,24/11/2024,04/12/2024,10,No,49,HR,CC-005,Emma Wilson,Priya Sharma,NO-CONTRACT,Spot,16/10/2024,15/11/2024,Paid,Paid,3-Way Match,No,No,No,Local,67.8
PO-02506,12/10/2024,2024,Q4,October,Standard,Closed,SUP-009,Delta Engineering,Netherlands,Europe,2,Approved,Medium,52.1326,5.2913,Net 45,ITEM-54692,Copper Wire (m),Raw Materials,Copper Wire (m),MTR,2.37,12,0,0,20,5.69,28.44,28.44,34.13,EUR,2.49,29.88,1.44,4.8,29/10/2024,24/10/2024,-5,Yes,12,Procurement,CC-006,Frank Brown,James O'Brien,CON-2535,Framework,16/05/2024,30/08/2026,Pending,Pending,3-Way Match,No,No,No,International,63.2
PO-02507,07/05/2023,2023,Q2,May,Contract,Cancelled,SUP-015,Iron Gate Steel,Poland,Europe,3,Conditional,Medium,51.9194,19.1451,Net 60,ITEM-76104,ERP License,IT Software,ERP License,EA,35127.87,40,15,210767.22,5,59717.38,1405114.8,1194347.58,1254064.96,GBP,27616.42,1104656.8,-89690.78,-8.1,19/06/2023,19/06/2023,0,Yes,43,Finance,CC-001,Alice Johnson,James O'Brien,CON-7943,Spot,14/12/2022,18/08/2023,Pending,On Hold,No Match,Yes,No,No,International,75.7
